ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price,type_of_engine,engine_capacity,normalised_mileage,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price
4516456,imported,used car,suv,56000,yellow,black,5,7,electronic oil injection,automatic,4wd - four-wheel drive (4wd),7.0,ford,everest,2019.0,Ford Everest Titanium 2.0L 4x4 AT 2019,40445.43419,diesel,2.0,0.28,0.5,0.67,0.36,0.5,1.0
4517369,domestic assembly,new car,suv,0,white,black,5,7,electronic fuel injection,automatic,fwd - front-wheel drive,9.0,honda,crv,2023.0,Honda CRV G 2023 car,39595.22987,petrol,1.5,0.0,0.29,0.67,0.36,0.75,0.98
4517555,imported,new car,suv,0,grey,black,5,7,diesel,automatic,rfd - rear-wheel drive,8.0,ford,everest,2023.0,Ford Everest Titanium 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.62,1.0
4517804,domestic assembly,new car,suv,0,white,black,5,7,,manual,rfd - rear-wheel drive,6.0,toyota,avanza,2022.0,Toyota Avanza Premio 1.5 MT 2022,21376.56582,petrol,1.5,0.0,0.29,0.67,0.36,0.38,0.53
4518136,imported,new car,suv,0,white,gray,4,7,,automatic,rfd - rear-wheel drive,8.0,ford,everest,2023.0,Ford Everest Ambiente 2.0L 4x2 AT 2023,3198.387689,diesel,2.0,0.0,0.5,0.33,0.36,0.62,0.08
4518177,imported,new car,suv,0,white,gray,4,7,,automatic,rfd - rear-wheel drive,8.0,ford,everest,2023.0,Ford Everest Titanium 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.33,0.36,0.62,1.0
4518760,imported,used car,4x4,35000,red,black,4,5,strawberry,automatic,4wd - four-wheel drive (4wd),8.0,ford,ranger,2021.0,Ford Ranger Wildtrak 2.0L 4x4 AT 2021,35020.32089,diesel,2.0,0.18,0.5,0.33,0.21,0.62,0.86
4519066,imported,new car,suv,0,white,black,5,5,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,toyota,raize,2023.0,Toyota Raize G 1.0 CVT 2023,22469.68566,petrol,1.0,0.0,0.08,0.67,0.21,0.38,0.55
4519105,domestic assembly,new car,sedan,0,white,black,4,5,electronic fuel injection,automatic,rfd - rear-wheel drive,6.0,mercedes benz,c class,2023.0,Mercedes Benz C class C200 Avantgarde 2023,40485.92011,petrol,1.5,0.0,0.29,0.33,0.21,0.38,1.0
4519135,imported,new car,suv,0,silver,black,5,7,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,toyota,veloz,2023.0,Toyota Veloz Cross 1.5 CVT 2023,26639.73543,petrol,1.5,0.0,0.29,0.67,0.36,0.38,0.66
4519142,imported,new car,suv,0,black,brown,5,7,,automatic,4wd - four-wheel drive (4wd),8.0,ford,everest,2023.0,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.62,1.0
4519159,imported,new car,suv,0,green,black,5,7,diesel,automatic,rfd - rear-wheel drive,8.0,ford,everest,2023.0,Ford Everest Sport 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.62,1.0
4519189,imported,new car,suv,0,white,black,5,7,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,toyota,veloz,2023.0,Toyota Veloz Cross Top 1.5 CVT 2023,28259.17224,petrol,1.5,0.0,0.29,0.67,0.36,0.38,0.7
